time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443349642	0	0	0	0	0	lidar	2.27301e-314	0	0	0	0	0	0
1477010443349642	0.0225281	-0.0225281	0	0	0	radar	1.8548	0	0	0	0	0	0
1477010444349642	1.53338	-0.11782	1.19452	-2.77556e-17	8.92342e-34	lidar	1.88685	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339
1477010444349642	1.61583	0.0205673	1.55128	-0.0574815	-0.034405	radar	4.10461	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339
1477010445349642	3.86917	-0.130524	1.81775	-0.129255	-0.0652022	lidar	1.84799	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323
1477010445349642	3.94264	0.0718439	2.04795	0.354057	0.112785	radar	5.36204	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323
1477010446349642	6.80522	0.39842	2.73826	-0.0168278	0.0514737	lidar	4.79021	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847
1477010446349642	6.73451	0.430955	2.77568	0.0487174	0.11377	radar	1.44805	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847
1477010447349642	9.07168	0.593407	2.8238	0.175135	0.0739791	lidar	0.276629	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526
1477010447349642	9.03718	0.663333	2.88455	0.000576234	0.217849	radar	1.56021	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526
1477010448349642	11.5604	1.65963	2.98989	0.757801	0.334525	lidar	1.06076	11.5756	1.6669	11.3468	1.427	2.49328	0.600781
1477010448349642	11.537	1.61544	3.02154	0.559224	-0.0877428	radar	0.68177	11.4447	1.42958	11.3468	1.427	2.49328	0.600781
1477010449349642	13.5915	2.31587	2.93161	0.131385	-0.322132	lidar	0.101115	13.5921	2.31191	13.827	2.07905	2.5429	0.724947
1477010449349642	13.6	2.27793	2.87144	0.112619	-0.337114	radar	0.57883	13.6572	1.99915	13.827	2.07905	2.5429	0.724947
1477010450349642	16.6261	2.89619	2.93862	0.413222	0.0776914	lidar	1.11519	16.6456	2.903	16.3554	2.85243	2.58284	0.844365
1477010450349642	16.5585	2.88167	2.97745	0.358742	0.000123244	radar	1.12995	16.282	2.84648	16.3554	2.85243	2.58284	0.844365
1477010451349642	18.9984	3.70341	3.01968	0.228233	-0.0859972	lidar	0.227944	19.0106	3.70555	18.923	3.74161	2.61382	0.95648
1477010451349642	19.0701	3.72273	2.92818	0.246892	-0.0573588	radar	1.58559	19.363	3.87122	18.923	3.74161	2.61382	0.95648
1477010452349642	21.3266	4.7268	2.95505	0.539157	0.168805	lidar	0.171162	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891
1477010452349642	21.3855	4.73043	3.02699	0.449903	0.0227874	radar	0.897726	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891
1477010453349642	24.0588	5.56598	3.07076	0.139526	-0.193332	lidar	0.521964	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953
1477010453349642	24.1648	5.60354	3.18595	0.146995	-0.150422	radar	3.21176	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953
