time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	2.22599e-314	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735506	0.629636	7.19978	1.50905e-18	-1.76782e-17	radar	74.7705	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.1605	0.494954	7.20284	-0.127222	-0.0118629	lidar	0.221183	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.25809	0.533059	7.1882	0.122921	0.0307066	radar	1.82474	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.61575	0.595373	7.20157	0.161661	0.0462913	lidar	0.167716	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.85109	0.561723	6.01709	0.0247681	-0.236757	radar	7.77215	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16319	0.591001	6.01658	0.0394842	-0.180504	lidar	0.255039	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.37918	0.636655	5.62126	0.0539287	-0.3563	radar	6.4279	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65699	0.65344	5.61826	0.0424159	-0.332626	lidar	0.0097756	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92351	0.646745	5.55478	-0.00651843	-0.491632	radar	0.472194	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15994	0.641872	5.51117	-0.0201004	-0.454393	lidar	1.22305	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.44524	0.53783	5.54173	-0.168249	-0.866414	radar	1.24304	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.74822	0.425804	5.60342	-0.285637	-1.08122	lidar	2.03619	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.02952	0.50944	5.56327	-0.149835	-0.559548	radar	4.19844	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30375	0.50099	5.54726	-0.142949	-0.475545	lidar	0.39651	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56564	0.534228	5.48335	-0.105925	-0.347132	radar	2.25033	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.75846	0.637784	5.34219	-0.00808371	-0.1078	lidar	13.384	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.01231	0.63435	5.29762	-0.0187617	-0.122425	radar	2.39455	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.31353	0.634016	5.33735	-0.0216471	-0.11586	lidar	2.22943	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.57087	0.642601	5.3337	-0.0143875	-0.0909722	radar	1.64478	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.86378	0.661247	5.35848	-0.00343452	-0.0644721	lidar	1.45204	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.10913	0.58534	5.32681	-0.0594877	-0.154638	radar	4.05318	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.36717	0.701221	5.30241	0.0181314	-0.0196516	lidar	4.22068	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.62035	0.731472	5.27793	0.0316604	0.000930011	radar	1.06155	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.86942	0.731817	5.26468	0.0271869	-0.00570157	lidar	0.41332	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.11868	0.712374	5.23284	0.0085341	-0.03626	radar	4.16004	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.34408	0.799652	5.19462	0.0559979	0.0346205	lidar	3.92771	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.62917	0.811886	5.22794	0.0567742	0.0342246	radar	3.2213	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.87956	0.791445	5.21926	0.0392488	0.00745586	lidar	0.624327	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.13474	0.807416	5.20177	0.0408441	0.00648054	radar	3.05741	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
